2026-01-16 16:26:31.993 [main] INFO  com.sky.SkyApplication - Starting SkyApplication using Java 17.0.12 on Zsh with PID 15840 (D:\ZSH-ComputerScience\CangQiong\sky-take-out\sky-take-out\sky-server\target\classes started by asus in D:\ZSH-ComputerScience\CangQiong\sky-take-out\sky-take-out)
2026-01-16 16:26:40.966 [http-nio-8080-exec-3] WARN  org.springframework.web.servlet.PageNotFound - No mapping for GET /admin/workspace/overviewDishes
2026-01-16 16:26:40.972 [http-nio-8080-exec-6] WARN  org.springframework.web.servlet.PageNotFound - No mapping for GET /admin/workspace/overviewSetmeals
2026-01-16 16:26:40.975 [http-nio-8080-exec-8] INFO  com.sky.interceptor.JwtTokenInterceptor - jwt校验: eyJhbGciOiJIUzI1NiJ9.eyJlbXBJZCI6MSwiZXhwIjoxNzY5MjcyMDAwfQ._bbClYFVQ9BDF2L5Vble2dvD9x4t1FtlcEzesGbshi4
2026-01-16 16:26:40.976 [http-nio-8080-exec-8] INFO  com.sky.interceptor.JwtTokenAdminInterceptor - id=1的员工登入苍穹外卖管理端

2026-01-16 16:26:40.976 [http-nio-8080-exec-8] INFO  com.sky.controller.admin.OrderController - 统计各个状态的订单数量
2026-01-16 16:26:40.977 [http-nio-8080-exec-8] DEBUG com.sky.mapper.OrderMapper.selectCount - ==>  Preparing: SELECT COUNT( * ) AS total FROM orders WHERE (status = ?)
2026-01-16 16:26:40.978 [http-nio-8080-exec-8] DEBUG com.sky.mapper.OrderMapper.selectCount - ==> Parameters: 2(Integer)
2026-01-16 16:26:40.979 [http-nio-8080-exec-8] DEBUG com.sky.mapper.OrderMapper.selectCount - <==      Total: 1
2026-01-16 16:26:40.980 [http-nio-8080-exec-8] DEBUG com.sky.mapper.OrderMapper.selectCount - ==>  Preparing: SELECT COUNT( * ) AS total FROM orders WHERE (status = ?)
2026-01-16 16:26:40.980 [http-nio-8080-exec-8] DEBUG com.sky.mapper.OrderMapper.selectCount - ==> Parameters: 3(Integer)
2026-01-16 16:26:40.982 [http-nio-8080-exec-8] DEBUG com.sky.mapper.OrderMapper.selectCount - <==      Total: 1
2026-01-16 16:26:40.983 [http-nio-8080-exec-8] DEBUG com.sky.mapper.OrderMapper.selectCount - ==>  Preparing: SELECT COUNT( * ) AS total FROM orders WHERE (status = ?)
2026-01-16 16:26:40.984 [http-nio-8080-exec-8] DEBUG com.sky.mapper.OrderMapper.selectCount - ==> Parameters: 4(Integer)
2026-01-16 16:26:40.985 [http-nio-8080-exec-8] DEBUG com.sky.mapper.OrderMapper.selectCount - <==      Total: 1
2026-01-16 16:26:41.027 [http-nio-8080-exec-9] INFO  com.sky.websocket.WebSocketServer - 客户端d13b9sudzna与服务端建立连接

2026-01-16 16:26:41.246 [http-nio-8080-exec-4] INFO  com.sky.controller.admin.ShopController - 管理端获取店铺营业状态为：营业中
2026-01-16 16:26:42.673 [http-nio-8080-exec-10] WARN  org.springframework.web.servlet.PageNotFound - No mapping for GET /admin/report/turnoverStatistics
2026-01-16 16:26:42.673 [http-nio-8080-exec-2] WARN  org.springframework.web.servlet.PageNotFound - No mapping for GET /admin/report/top10
2026-01-16 16:26:42.673 [http-nio-8080-exec-7] WARN  org.springframework.web.servlet.PageNotFound - No mapping for GET /admin/report/ordersStatistics
2026-01-16 16:26:42.673 [http-nio-8080-exec-1] WARN  org.springframework.web.servlet.PageNotFound - No mapping for GET /admin/report/userStatistics
2026-01-16 16:26:47.548 [SpringApplicationShutdownHook] INFO  com.sky.websocket.WebSocketServer - 客户端d13b9sudzna与服务端断开连接

2026-01-16 16:26:47.682 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2026-01-16 16:26:47.684 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
